item_id,meeting,agenda_no,matter_file,stage,places,largest_amount,title,relevant,reason
oakland-238445,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,S6.25,26-0905,action,7000 Coliseum Way; Coliseum,60000000,"Subject: Second Amendment To Coliseum Complex Sale Agreement From: Economic And Workforce Development Department And Finance Department Recommendation: Adopt An Ordinance (1) Authorizing The City Administrator To Amend The Purchase And Sale Agreement Of The City Of Oakland’s Undivided 50% Interest In The Coliseum Complex Located At 7000 Coliseum Way, Oakland, California, To Allow The Simultaneous Sale Of The Arena Parcel For The Lump Sum Payment Of $50 Million And The Stadium Parcel For $60 Million With Seller Financing From The City, Crediting The $5 Million Deposit Held By The City Prior To The Sale; (2) Authorizing The City Administrator To Negotiate And Execute An Agreement Pursuant Which The Buyers Agree To Pay To The City 6% Of The Annual Gross Ticket Sales For Any Event At The Arena Parcel And The Stadium Parcel Less Applicable Taxes; (3) Amending Ordinance No. 13801 C.M.S. Conditioning The Sale To Require Development Of On-Site, Affordable Housing And Other Benefits To Solely The Sale Of The City’s Interest In The Stadium Parcel; (4) Authorizing The City Administrator To Facilitate Closing Prior To December 31, 2026 By Redirecting To The Buyer Of The Stadium Parcel A Portion Of The Pro Rata Share Of The City’s Annual Subsidy Of The Stadium Parcel Based On A Per Day Amount Of $16,438.36 Limited To The Period Between The Stadium Parcel Closing And December 31, 2026; And (5) Adopting California Environmental Quality Act Findings",,
oakland-238168,2026-07-23 *Rules and Legislation Committee - CANCELLED,1,26-0843,unknown,,,"Approval Of The Draft Minutes From The Committee Meeting Of July 9, 2026",,
oakland-238273,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,6.23,26-0907,consent,,,Subject: Encampment Management And Abatement Operations From: Councilmember Houston Recommendation: Receive An Informational Report From The Encampment Management Abatement Team (EMAT) On Encampment Management Abatement Operations,,
oakland-238407,2026-07-16 *Rules & Legislation Committee,3.1,26-0910,action,Grand Avenue,,"Subject: Grand Performance Mural From: Councilmember Wang Recommendation: Adopt A Resolution Authorizing The City Administrator To: (1) Enter Into An Agreement With The State Of California Department Of Transportation For The Sponsorship And Maintenance Of The “Grand Performance Mural” Restoration Project Located At The Grand Avenue Underpass Of Interstate 580 In Oakland; And (2) Enter Into An Agreement With SOA Village Housing Inc. (EVOAK!) For The Restoration Of The Mural And Ongoing Maintenance, In Coordination With Artists Daniel Galvez And Keith Sklar",,
oakland-238193,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,6.2,26-0890,consent,,,"Subject: Declaration Of A Local Emergency Due To AIDS Epidemic From: Office Of The Council President Recommendation: Adopt A Resolution Renewing And Continuing The City Council's Declaration Of A Local Emergency Due To The Existence Of A Critical Public Health Crisis With Regard To The Human Immunodeficiency Virus (""HIV"")/Acquired Immunodeficiency Syndrome (""AIDS"") Epidemic",,
oakland-238423,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,S6.35,26-0846,action,West Oakland,400000,"Subject: REAP 2.0 HIT Funds For The West Oakland UBM Pilot From: Department Of Transportation Recommendation: Adopt A Resolution Authorizing The City Administrator To Finalize And Execute A Purchase Agreement With The Metropolitan Transportation Commission, As Administrator Of The Clipper Regional Transit Fare-Payment Program, In An Amount Not To Exceed Four Hundred Thousand Dollars ($400,000), Using Previously Appropriated Regional Early Action Planning 2.0 Higher Impact Transformative Grant Funds, To Purchase And Distribute Approximately 1,000 Prepaid Clipper Cards For The West Oakland Universal Basic Mobility Pilot; And Making Findings To Waive The City’s Formal Advertising, Competitive Bidding, And Request For Proposals/Qualifications",,
oakland-238419,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,S6.32,26-0819,action,,364685,"Subject: Municipal Facility Energy Assessments Professional Services Agreement Award From: Oakland Public Works Department Recommendation: Adopt A Resolution Authorizing The City Administrator To Award And Execute A Professional Services Agreement With KW Engineering For Energy Assessment And Consulting Services In An Amount Not To Exceed Three Hundred Sixty-Four Thousand Six Hundred Eighty-Five Dollars ($364,685) For The Municipal Facility Energy Assessments Project (No. 1008000), And Adopting Appropriate California Environmental Quality Act Findings",,
oakland-238393,2026-07-16 *Rules & Legislation Committee,3.36,26-0863,action,,,Subject: OPD Surveillance Technology 2025 Annual Reports From: Oakland Police Department Recommendation: Adopt A Resolution: (1) Accepting The 2025 Annual Reports For The Following City Of Oakland Police Department Surveillance Technologies: (A) Automated License Plate Readers; (B) Crime Lab Biometrics DNA Analysis Technology; (C) Forward Looking Infrared (FLIR); (D) Live Stream Transmitter; (E) Unmanned Aerial System (UAS Or Drone) ; (F) Forensic Logic CopLink/Crimetracer System; (G) Pen Register; And (H) Cellebrite; And (2) Making A Determination Regarding Whether The City Should Continue To Use Each Of These Technologies,,
oakland-238200,2026-07-21 * Concurrent Meeting of the Oakland Redevelopment,6.10,26-0737,consent,319 Chester Street; West Oakland,,"Subject: Sale Of 319 Chester Street From: Housing And Community Development Department Recommendation: Adopt An Ordinance Amending Ordinance No. 13104 C.M.S., Which Authorized The Sale Of A City-Owned Parcel At 319 Chester Street To The Alliance For West Oakland Development, Authorized Seller Financing For The Purchase Price, Authorized A Construction Loan, And Authorized A Disposition And Development Agreement With The Developer To Develop The Parcel With A Two Family Home For-Sale, To (1) Convert The Project Into An Affordable Rental Project, And (2) Consolidate The City Purchase And Construction Loans Into A Long Term Affordable Rental Loan",,
oakland-238405,2026-07-16 *Rules & Legislation Committee,3.3,26-0912,action,Coliseum,,Subject: Coliseum Payment Allocation From: Finance Department Recommendation: Adopt A Resolution Appropriating And Allocating Fifty Million Dollars Of The Proceeds Of The Sale Of The City Of Oakland’s Undivided Fifty Percent Interest In The Coliseum Complex To California Public Employees Retirement System For A Discretionary Payment Of City’s Unfunded Accrued Liability For Retirement Benefits,,
